pmid,student_model,judge_model,faithfulness_score,correctness_score
25957366,gpt4o,gpt-4o,1.0,0.4863002252979399
25957366,claude,gpt-4o,0.9333333333333333,0.5032989732243025
25957366,gemini,gpt-4o,0.8,0.680949960885634
25957366,llama,gpt-4o,0.75,0.48620293169741746
25957366,gemma,gpt-4o,1.0,0.7442016288299123
11838307,gpt4o,gpt-4o,1.0,0.6033097096599784
11838307,claude,gpt-4o,0.8888888888888888,0.8298025925341529
11838307,gemini,gpt-4o,0.8,0.5720589962992754
11838307,llama,gpt-4o,0.875,0.4937184019568778
11838307,gemma,gpt-4o,0.8571428571428571,0.6025595009927834
22513023,gpt4o,gpt-4o,1.0,0.449225517879597
22513023,claude,gpt-4o,0.7777777777777778,0.6166606100971215
22513023,gemini,gpt-4o,1.0,0.6143691743824469
22513023,llama,gpt-4o,0.7777777777777778,0.6265334616047173
22513023,gemma,gpt-4o,1.0,0.5813994421517876
14713788,gpt4o,gpt-4o,1.0,0.6085204874125772
14713788,claude,gpt-4o,1.0,0.5285911485828045
14713788,gemini,gpt-4o,1.0,0.6588680283675263
14713788,llama,gpt-4o,1.0,0.6362284864958877
14713788,gemma,gpt-4o,1.0,0.6269775094900079
10158597,gpt4o,gpt-4o,1.0,0.33614160350862066
10158597,claude,gpt-4o,1.0,0.40406162228502784
10158597,gemini,gpt-4o,0.875,0.5233482918586795
10158597,llama,gpt-4o,1.0,0.48961335830074715
10158597,gemma,gpt-4o,0.8888888888888888,0.5618633604426455
25588461,gpt4o,gpt-4o,1.0,0.5562761911461298
25588461,claude,gpt-4o,1.0,0.7843365846439743
25588461,gemini,gpt-4o,1.0,0.304849887003442
25588461,llama,gpt-4o,0.7777777777777778,0.5721007312335216
25588461,gemma,gpt-4o,0.8888888888888888,0.5813218028474498
27581329,gpt4o,gpt-4o,1.0,0.3806816079136883
27581329,claude,gpt-4o,0.7857142857142857,0.8244098381821109
27581329,gemini,gpt-4o,1.0,0.3277414500491622
27581329,llama,gpt-4o,1.0,0.4237551027357099
27581329,gemma,gpt-4o,0.8181818181818182,0.4375605983836068
21889895,gpt4o,gpt-4o,1.0,0.45698707510664105
21889895,claude,gpt-4o,1.0,0.585654254520473
21889895,gemini,gpt-4o,1.0,0.31087532885020447
21889895,llama,gpt-4o,0.7142857142857143,0.3313304023726088
21889895,gemma,gpt-4o,0.9,0.37714453613019366
23587089,gpt4o,gpt-4o,1.0,0.7492874014499938
23587089,claude,gpt-4o,1.0,0.6633420482923666
23587089,gemini,gpt-4o,1.0,0.7652170416235531
23587089,llama,gpt-4o,0.9230769230769231,0.7850975675655869
23587089,gemma,gpt-4o,0.8888888888888888,0.6232738329172388
8375607,gpt4o,gpt-4o,1.0,0.7459595014007201
8375607,claude,gpt-4o,1.0,0.7899018380025279
8375607,gemini,gpt-4o,1.0,0.7400726376979236
8375607,llama,gpt-4o,1.0,0.7563120120817455
8375607,gemma,gpt-4o,1.0,0.731695959101731
25228241,gpt4o,gpt-4o,1.0,0.7531847890386854
25228241,claude,gpt-4o,1.0,0.6297708629482672
25228241,gemini,gpt-4o,1.0,0.6968656593725342
25228241,llama,gpt-4o,1.0,0.6662829656697205
25228241,gemma,gpt-4o,0.8333333333333334,0.6751191767257583
15050326,gpt4o,gpt-4o,0.9,0.5632735777915567
15050326,claude,gpt-4o,0.9166666666666666,0.7239849843912735
15050326,gemini,gpt-4o,0.9,0.6995744772650683
15050326,llama,gpt-4o,0.8181818181818182,0.5610557466728698
15050326,gemma,gpt-4o,1.0,0.5873190399396424
25417760,gpt4o,gpt-4o,1.0,0.6176505847611335
25417760,claude,gpt-4o,1.0,0.7613914514918503
25417760,gemini,gpt-4o,1.0,0.7098522746402944
25417760,llama,gpt-4o,0.875,0.510622285536811
25417760,gemma,gpt-4o,0.375,0.3905057452538847
